,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,property_valuation,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Rank,Value,geo_address,latitude,longitude
4021,Winnifred,Beswetherick,Female,83,1976-06-08,Actuary,Financial Services,Mass Customer,N,No,14,10,0.9,0.9,1.125,0.95625,17,1.546875,"Essendon, Melbourne, City of Moonee Valley, 3040, Victoria, Australia",-37.750057084210525,144.9183687877193
4022,Odilia,Quick,Female,65,1938-11-09,General Manager,Manufacturing,Affluent Customer,N,Yes,11,11,0.53,0.6625000000000001,0.8281250000000001,0.8281250000000001,19,1.53125,"Penshurst, Sydney, Georges River Council, 2222, New South Wales, Australia",-33.96628749,151.08984166
4023,Karly,Willavize,Female,2,1954-08-12,Internal Auditor,Manufacturing,High Net Worth,N,No,12,10,0.46,0.46,0.5750000000000001,0.5750000000000001,19,1.53125,"Greenacre, Sydney, Canterbury-Bankstown Council, 2190, New South Wales, Australia",-33.90340502,151.05619931666666
4024,Teddie,Burchill,Male,11,1968-12-21,Programmer I,Manufacturing,Mass Customer,N,Yes,13,9,0.85,1.0625,1.328125,1.12890625,21,1.515625,"Guildford, Sydney, Cumberland City Council, 2161, New South Wales, Australia",-33.856233314634146,150.98416113658536
4025,Gaston,Dallaghan,Male,44,1993-09-29,Financial Analyst,Financial Services,Mass Customer,N,Yes,8,7,0.77,0.9625,0.9625,0.818125,21,1.515625,"Lawson, Sydney, Blue Mountains City Council, 2783, New South Wales, Australia",-33.726204460240965,150.4258524939759
4026,Otis,Ottey,Male,26,1998-02-05,Quality Engineer,,Mass Customer,N,No,3,4,1.02,1.02,1.02,0.867,23,1.5,"Moranbah, Isaac Regional, 4744, Queensland, Australia",-22.011206859999998,148.05100256
4027,Tabbatha,Averill,Female,5,1977-12-17,Quality Control Specialist,,Affluent Customer,N,Yes,13,8,0.72,0.8999999999999999,0.8999999999999999,0.8999999999999999,23,1.5,"Umina Beach, Gosford, Central Coast Council, 2257, New South Wales, Australia",-33.512595296658034,151.3147976914508
4028,Brena,Schnitter,Female,78,1982-10-11,Account Executive,Manufacturing,Mass Customer,N,No,4,5,0.61,0.61,0.61,0.5185,25,1.484375,"Barlows Hill, Livingstone Shire, 4703, Queensland, Australia",-23.105907533333333,150.73837692666666
4029,Rourke,Gillbard,Male,11,1945-08-03,,Property,Mass Customer,N,No,17,4,0.59,0.59,0.59,0.5015,26,1.46875,"Kirwan, Townsville City, 4817, Queensland, Australia",-19.306153286206897,146.73420286206897
4030,Dyane,Burwell,Female,19,1952-06-27,Engineer II,Retail,Mass Customer,N,Yes,7,2,0.89,1.1125,1.1125,0.945625,26,1.46875,"Albury, Albury City Council, 2640, New South Wales, Australia",-36.08442952193627,146.9198178882353
4031,Claudine,Barstowk,Female,71,1966-07-20,Nurse,Property,High Net Worth,N,Yes,5,11,0.67,0.8375,1.046875,1.046875,26,1.46875,"Spring Hill, Greater Brisbane, 4000, Queensland, Australia",-27.461657079441338,153.02183757061454
4032,Blinnie,Roze,Female,84,1960-12-10,Librarian,Entertainment,High Net Worth,N,No,11,7,1.08,1.08,1.35,1.35,26,1.46875,"Bulimba, Greater Brisbane, 4171, Queensland, Australia",-27.455870752434187,153.06117781869816
4033,Rhona,De Freyne,Female,45,1960-11-22,,Health,High Net Worth,N,No,8,10,0.73,0.73,0.9125,0.9125,30,1.4609375,"Brunswick, Melbourne, City of Merri-bek, 3056, Victoria, Australia",-37.76793731528302,144.96029546698114
4034,Sharron,Claibourn,Female,62,1980-01-26,,Financial Services,High Net Worth,N,Yes,17,8,0.71,0.8875,0.8875,0.8875,30,1.4609375,"Belmont, Newcastle-Maitland, Lake Macquarie City Council, 2280, New South Wales, Australia",-33.02718327096774,151.6585505096774
4035,Brien,Heaton,Male,70,1951-11-28,Clinical Specialist,Health,Mass Customer,N,Yes,12,2,1.01,1.2625,1.2625,1.073125,32,1.453125,"Casino, Richmond Valley Council, 2470, New South Wales, Australia",-28.84258610980392,152.98909315490195
4036,Sybilla,MacCart,Female,88,1987-01-15,Paralegal,Financial Services,Mass Customer,N,Yes,7,7,0.41,0.5125,0.640625,0.54453125,32,1.453125,"Jerrabomberra, Queanbeyan-Palerang Regional Council, 2620, New South Wales, Australia",-35.40155569672131,149.19710846557376
4037,Mikel,McNess,Male,71,1981-09-22,Nurse,,Mass Customer,N,No,9,9,0.7,0.7,0.875,0.74375,32,1.453125,"Mount Gravatt East, Greater Brisbane, 4122, Queensland, Australia",-27.542813476856786,153.09041006805953
4038,Maisie,Maddox,Female,27,1977-05-09,Assistant Manager,Financial Services,Affluent Customer,N,No,20,9,0.66,0.66,0.8250000000000001,0.8250000000000001,32,1.453125,"Ocean Grove, City of Greater Geelong, 3226, Victoria, Australia",-38.26335595963303,144.51426591376148
4039,Arleen,Casbolt,Female,48,1975-05-10,Senior Quality Engineer,Financial Services,Affluent Customer,N,Yes,13,1,0.77,0.9625,0.9625,0.9625,36,1.44765625,"Kirwan, Townsville City, 4817, Queensland, Australia",-19.306153286206897,146.73420286206897
4040,Farlie,Petford,Male,76,1968-03-25,Recruiting Manager,,High Net Worth,N,No,13,10,0.86,0.86,1.075,1.075,36,1.44765625,"Zetland, Sydney, Council of the City of Sydney, 2017, New South Wales, Australia",-33.905439370175436,151.20665650811404
4041,Mitchell,MacCague,Male,58,1979-04-11,,Manufacturing,Mass Customer,N,No,15,8,0.62,0.62,0.62,0.527,38,1.4375,"Highett, Melbourne, City of Bayside, 3190, Victoria, Australia",-37.95311834612245,145.0371776534694
4042,Garik,Whitwell,Male,44,1955-06-13,,Property,Mass Customer,N,Yes,13,2,0.88,1.1,1.1,0.935,38,1.4375,"Warrnambool, City of Warrnambool, 3280, Victoria, Australia",-38.38548947889909,142.496137306422
4043,Antonin,Britt,Male,64,1993-08-28,,Manufacturing,Affluent Customer,N,Yes,8,9,0.43,0.5375,0.671875,0.671875,40,1.434375,"Merrylands, Sydney, Cumberland City Council, 2160, New South Wales, Australia",-33.832454518823525,150.9796508117647
4044,Vinny,Incogna,Female,73,1953-02-13,,Health,High Net Worth,N,No,10,8,0.62,0.62,0.62,0.62,40,1.434375,"Freemans Reach, Sydney, Hawkesbury City Council, 2756, New South Wales, Australia",-33.56748447130435,150.82186244826087
4045,Colene,Fishleigh,Female,24,1985-03-14,Design Engineer,Financial Services,Mass Customer,N,No,3,10,0.54,0.54,0.675,0.57375,42,1.421875,"Mount Waverley, Melbourne, City of Monash, 3149, Victoria, Australia",-37.882926468264706,145.13663315214706
4046,Neile,Argent,Female,79,1946-10-25,,Retail,Mass Customer,N,No,8,10,0.83,0.83,1.0375,0.8818749999999999,42,1.421875,"Bronte, Sydney, Waverley Council, 2024, New South Wales, Australia",-33.903311335714285,151.25941857142857
4047,Corinna,Suggey,Female,52,1966-09-18,Design Engineer,,Affluent Customer,N,No,9,8,0.89,0.89,0.89,0.89,44,1.42109375,"Colebee, Sydney, Blacktown City Council, 2761, New South Wales, Australia",-33.72644150471698,150.85082548867925
4048,Brooke,Arling,Male,76,1961-12-05,,,High Net Worth,N,No,6,5,0.97,0.97,0.97,0.97,44,1.42109375,"Williams Landing, Melbourne, City of Wyndham, 3027, Victoria, Australia",-37.855667995652176,144.7364121704348
4049,Gipsy,Ewestace,Female,29,1956-08-30,Business Systems Development Analyst,Retail,High Net Worth,N,Yes,5,12,0.53,0.6625000000000001,0.8281250000000001,0.8281250000000001,46,1.4078125,"Coogee, Eastern Suburbs, Sydney, Randwick City Council, 2034, New South Wales, Australia",-33.913058898461536,151.25791457230767
4050,Sheena,Kybbye,Female,14,1956-07-16,Paralegal,Financial Services,Affluent Customer,N,Yes,19,1,0.91,1.1375,1.1375,1.1375,46,1.4078125,"Mission Beach, Cassowary Coast Regional, 4852, Queensland, Australia",-17.870486842857144,146.1019492
4051,Jobina,Gobourn,Female,85,1994-12-04,VP Quality Control,,High Net Worth,N,Yes,14,4,0.48,0.6,0.75,0.75,46,1.4078125,"Ipswich, Greater Brisbane, 4305, Queensland, Australia",-27.63190560792683,152.7519049567073
4052,Gale,Disbrow,Female,59,1977-05-14,Cost Accountant,Financial Services,Mass Customer,N,Yes,17,7,1.07,1.3375,1.3375,1.136875,46,1.4078125,"Smoko, Alpine Shire, 3741, Victoria, Australia",-36.80044714683544,147.0141532822785
4053,Thaxter,Kingsbury,Male,12,1950-05-03,Product Engineer,Argiculture,Mass Customer,N,No,20,12,0.86,0.86,1.075,0.91375,50,1.40625,"Chatswood, Lower North Shore, Sydney, Willoughby City Council, 2067, New South Wales, Australia",-33.7962466990566,151.17902833773584
4054,Heinrick,Shilstone,Male,60,1978-02-11,,Manufacturing,Affluent Customer,N,No,10,8,0.43,0.43,0.43,0.43,50,1.40625,"Noble Park, Melbourne, City of Greater Dandenong, 3174, Victoria, Australia",-37.97490964761904,145.17940894285715
4055,Taylor,Steuhlmeyer,Male,62,1999-03-22,Paralegal,Financial Services,Affluent Customer,N,Yes,5,8,1.06,1.325,1.325,1.325,52,1.39453125,"Sandgate, Brisbane City, 4017, Queensland, Australia",-27.31601846651844,153.0485852294178
4056,Griswold,Kelsall,Male,55,1993-12-19,Social Worker,Health,High Net Worth,N,Yes,11,7,0.87,1.0875,1.0875,1.0875,52,1.39453125,"Narre Warren, Melbourne, City of Casey, 3805, Victoria, Australia",-38.00904905597826,145.3055908724295
4057,Odessa,Mc Andrew,Female,97,1981-12-01,,Property,Mass Customer,N,No,8,10,0.62,0.62,0.775,0.65875,54,1.38125,"Sutherland, Sydney, Sutherland Shire Council, 2232, New South Wales, Australia",-34.03018081297297,151.06119609567568
4058,Lavena,Seekings,Female,87,1995-03-25,Payment Adjustment Coordinator,Retail,Mass Customer,N,No,16,10,0.98,0.98,1.225,1.04125,54,1.38125,"Oakleigh, Melbourne, City of Monash, 3166, Victoria, Australia",-37.90715324291667,145.10139873208334
4059,Martelle,Tuppeny,Female,52,1981-02-03,Marketing Assistant,Manufacturing,Mass Customer,N,No,9,10,0.98,0.98,1.225,1.04125,54,1.38125,"Como, Sydney, Sutherland Shire Council, 2226, New South Wales, Australia",-34.00879439166667,151.06303824722224
4060,Briant,Ladley,Male,75,1979-12-17,Recruiter,Argiculture,Mass Customer,N,No,12,8,0.62,0.62,0.62,0.527,57,1.375,"Penrith, Sydney, Penrith City Council, 2750, New South Wales, Australia",-33.754322410849056,150.67893582712264
4061,Marylou,Kirkup,Female,51,1972-10-31,VP Product Management,,Mass Customer,N,No,14,9,0.66,0.66,0.8250000000000001,0.70125,57,1.375,"Edithvale, Melbourne, City of Kingston, 3196, Victoria, Australia",-38.03810563170092,145.114394132007
4062,Whittaker,,Male,64,1966-07-29,Media Manager III,,Mass Customer,N,Yes,8,5,0.98,1.225,1.225,1.04125,57,1.375,"Rowville, Melbourne, City of Knox, 3156, Victoria, Australia",-37.90096691359667,145.27558982656964
4063,Normy,Goodinge,U,5,,Associate Professor,IT,Mass Customer,N,No,4,5,0.78,0.78,0.78,0.663,57,1.375,"Pakenham, Melbourne, Shire of Cardinia, 3810, Victoria, Australia",-38.063884217213115,145.46991815245903
4064,Lorrie,Antonelli,Male,47,1983-02-11,Cost Accountant,Financial Services,High Net Worth,N,Yes,17,7,0.4,0.5,0.5,0.5,57,1.375,"Umina Beach, Gosford, Central Coast Council, 2257, New South Wales, Australia",-33.512595296658034,151.3147976914508
4065,Jedediah,Kedie,Male,31,1971-12-29,Developer I,Argiculture,Mass Customer,N,Yes,9,9,0.43,0.5375,0.671875,0.57109375,62,1.36796875,"Quakers Hill, Sydney, Blacktown City Council, 2763, New South Wales, Australia",-33.728338093333335,150.89744122888888
4066,Kaine,Smallcombe,Male,59,1942-02-06,Senior Financial Analyst,Financial Services,High Net Worth,N,No,11,10,0.48,0.48,0.6,0.6,62,1.36796875,"Gordon, Sydney, Ku-ring-gai Council, 2072, New South Wales, Australia",-33.75449019333333,151.15261818
4067,Loise,Iltchev,Female,70,1967-03-18,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,17,6,1.05,1.3125,1.3125,1.3125,62,1.36796875,"Narangba, Greater Brisbane, City of Moreton Bay, 4504, Queensland, Australia",-27.20434396666667,152.96818136960786
4068,Cristen,Maroney,Female,22,1999-11-21,Accountant IV,IT,High Net Worth,N,Yes,7,7,0.58,0.725,0.725,0.725,65,1.3625,"Molendinar, Gold Coast City, 4214, Queensland, Australia",-27.967312742991453,153.36740983452992
4069,Dorothy,Barnardo,Female,58,1983-02-01,Human Resources Manager,Retail,High Net Worth,N,No,12,8,0.57,0.57,0.57,0.57,65,1.3625,"Busby, Sydney, Liverpool City Council, 2168, New South Wales, Australia",-33.91353901428571,150.87780079285716
4070,Rosmunda,Duxbarry,Female,69,1996-07-20,Executive Secretary,Property,Affluent Customer,N,Yes,5,11,0.83,1.0375,1.296875,1.296875,65,1.3625,"Ormeau, Gold Coast City, 4208, Queensland, Australia",-27.777456489626555,153.2552827533195
4071,Rozamond,Riha,Female,54,1984-10-07,Account Representative I,Manufacturing,Affluent Customer,N,Yes,16,7,0.59,0.7374999999999999,0.7374999999999999,0.7374999999999999,68,1.3546875,"Forest Lake, Greater Brisbane, 4078, Queensland, Australia",-27.619807466006215,152.96109038379564
4072,Gunner,Petti,Male,62,1999-06-08,Executive Secretary,Financial Services,High Net Worth,N,Yes,3,5,0.62,0.775,0.775,0.775,68,1.3546875,"Bald Hills, Brisbane City, 4036, Queensland, Australia",-27.32042253563259,153.01033559338813
4073,Vivienne,Crayden,Female,82,1988-09-18,Associate Professor,,High Net Worth,N,Yes,6,7,1.01,1.2625,1.578125,1.578125,68,1.3546875,"Tingalpa, Greater Brisbane, 4173, Queensland, Australia",-27.475252922426666,153.13225777210667
4074,Sherilyn,Canero,Female,11,1996-08-03,Dental Hygienist,Health,High Net Worth,N,Yes,13,7,0.8,1.0,1.0,1.0,68,1.3546875,"Byangum, Tweed Shire Council, 2484, New South Wales, Australia",-28.348628712230216,153.37071840431653
4075,Bessie,Roscow,Female,78,1994-08-04,GIS Technical Architect,Financial Services,Mass Customer,N,No,9,10,0.57,0.57,0.7124999999999999,0.6056249999999999,72,1.35,"Epping, Sydney, City of Parramatta Council, 2121, New South Wales, Australia",-33.77118336666667,151.0786623090909
4076,Kevina,Ferandez,Female,73,1999-09-21,Assistant Professor,Financial Services,High Net Worth,N,No,15,9,0.97,0.97,1.2125,1.2125,72,1.35,"Indooroopilly, Greater Brisbane, 4068, Queensland, Australia",-27.501940689568347,152.9753018095966
4077,Yancy,Clementet,Male,5,1968-02-16,Mechanical Systems Engineer,,High Net Worth,N,No,15,9,0.5,0.5,0.625,0.625,72,1.35,"Lalor Park, Sydney, Blacktown City Council, 2147, New South Wales, Australia",-33.764241076595745,150.93524201063832
4078,Mabelle,Wellbelove,Female,76,1958-04-21,,Financial Services,Affluent Customer,N,Yes,19,9,0.85,1.0625,1.328125,1.328125,72,1.35,"Sandringham, Sydney, Bayside Council, 2219, New South Wales, Australia",-33.99555932962963,151.1399879962963
4079,Hasheem,Groucock,Male,98,1974-09-17,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,N,Yes,10,12,0.54,0.675,0.84375,0.84375,72,1.35,"Coogee, Eastern Suburbs, Sydney, Randwick City Council, 2034, New South Wales, Australia",-33.913058898461536,151.25791457230767
4080,Tobias,Woodhams,Male,0,1961-04-15,Research Nurse,Health,Mass Customer,N,No,17,9,1.0,1.0,1.25,1.0625,77,1.34140625,"St Clair, Sydney, Penrith City Council, 2759, New South Wales, Australia",-33.79928876424581,150.79261578731047
4081,Glennis,Flintoff,Female,36,1956-10-22,Speech Pathologist,Health,Affluent Customer,N,Yes,13,7,0.72,0.8999999999999999,0.8999999999999999,0.8999999999999999,78,1.3375,"Werribee, Melbourne, City of Wyndham, 3030, Victoria, Australia",-37.893824220172085,144.69761997566923
4082,Chanda,Mensler,Female,15,1972-01-14,Computer Systems Analyst IV,Manufacturing,Mass Customer,N,Yes,13,10,0.46,0.5750000000000001,0.7187500000000001,0.6109375000000001,78,1.3375,"Revesby, Sydney, Canterbury-Bankstown Council, 2212, New South Wales, Australia",-33.954352338095234,151.01430635952383
4083,Katheryn,Kinner,Female,15,1973-11-28,Analyst Programmer,Entertainment,High Net Worth,N,No,6,6,0.68,0.68,0.68,0.68,78,1.3375,"East Corrimal, Wollongong City Council, 2518, New South Wales, Australia",-34.37877640746269,150.90494517537311
4084,Sumner,Carrivick,Male,53,1995-04-09,Desktop Support Technician,Manufacturing,Mass Customer,N,No,15,12,0.77,0.77,0.9625,0.818125,78,1.3375,"Collaroy Plateau, Sydney, Northern Beaches Council, 2097, New South Wales, Australia",-33.73380277511423,151.29467232619555
4085,Valerie,Pickover,Female,34,1965-09-08,Editor,Financial Services,Mass Customer,N,No,9,8,0.81,0.81,0.81,0.6885,78,1.3375,"Freemans Reach, Sydney, Hawkesbury City Council, 2756, New South Wales, Australia",-33.56748447130435,150.82186244826087
4086,Esther,Rooson,Female,14,1981-02-22,,Financial Services,Mass Customer,N,No,5,9,0.62,0.62,0.775,0.65875,78,1.3375,"Five Dock, Inner West, Sydney, City of Canada Bay Council, 2046, New South Wales, Australia",-33.86407893225806,151.12736497096773
4087,Gardie,Crellim,Male,58,1975-09-12,Biostatistician IV,Manufacturing,High Net Worth,N,No,8,12,0.54,0.54,0.675,0.675,84,1.328125,"Caulfield North, Melbourne, City of Glen Eira, 3161, Victoria, Australia",-37.87456240301205,145.0192676180723
4088,Sean,O'Loughlin,Male,48,1961-03-22,Database Administrator III,Manufacturing,High Net Worth,N,Yes,16,10,0.73,0.9125,1.140625,1.140625,85,1.325,"Bowral, Wingecarribee Shire Council, 2576, New South Wales, Australia",-34.48489604183006,150.43514098366012
4089,Pietra,Buckleigh,Female,9,1949-04-29,Engineer III,,High Net Worth,N,No,13,10,0.48,0.48,0.6,0.6,85,1.325,"Bronte, Sydney, Waverley Council, 2024, New South Wales, Australia",-33.903311335714285,151.25941857142857
4090,Marysa,Rouchy,Female,8,1999-02-15,Assistant Media Planner,Entertainment,Affluent Customer,N,No,5,9,0.97,0.97,1.2125,1.2125,85,1.325,"Bondi Beach, Sydney, Waverley Council, 2026, New South Wales, Australia",-33.890763394270834,151.2676076510417
4091,Kahaleel,,Male,5,1942-11-01,GIS Technical Architect,,High Net Worth,N,No,13,12,0.84,0.84,1.05,1.05,88,1.31484375,"Maroubra, Sydney, Randwick City Council, 2035, New South Wales, Australia",-33.94194296551724,151.2362829
4092,Ossie,Midden,Male,49,1950-02-10,Physical Therapy Assistant,Manufacturing,Mass Customer,N,Yes,14,9,0.51,0.6375,0.796875,0.67734375,89,1.3125,"Byron Shire Council, 2479, New South Wales, Australia",-28.70760040869565,153.49928057391304
4093,Sid,Carlone,Male,24,1971-08-18,Structural Engineer,Health,Affluent Customer,N,No,16,2,0.67,0.67,0.67,0.67,89,1.3125,"Woongarra, Bundaberg Region, 4670, Queensland, Australia",-24.883188646212123,152.41333871136362
4094,Ludovico,Juster,Male,93,1992-04-19,Environmental Specialist,,Affluent Customer,N,No,15,10,1.07,1.07,1.3375,1.3375,89,1.3125,"West Pennant Hills, Sydney, The Hills Shire Council, 2125, New South Wales, Australia",-33.75181678181818,151.04116254545454
4095,Patricia,Everix,Female,34,1978-02-19,Director of Sales,Health,Mass Customer,N,No,19,7,0.71,0.71,0.71,0.6034999999999999,89,1.3125,"Central Coast Council, 2263, New South Wales, Australia",-33.25735617045454,151.52765257954545
4096,Andromache,Bonafacino,Female,84,1977-09-01,,Retail,Mass Customer,N,No,11,9,0.71,0.71,0.8875,0.7543749999999999,89,1.3125,"Beaconsfield, Sydney, Council of the City of Sydney, 2015, New South Wales, Australia",-33.90953770111524,151.19937135724908
4097,Levy,Abramamov,Male,94,1952-09-21,Teacher,,Affluent Customer,N,Yes,14,8,0.44,0.55,0.6875,0.6875,89,1.3125,"Eatons Hill, Greater Brisbane, City of Moreton Bay, 4037, Queensland, Australia",-27.338354433333333,152.9533267333333
4098,Nobe,McAughtry,Male,25,1978-12-14,,,Mass Customer,N,No,12,5,0.75,0.75,0.75,0.6375,89,1.3125,"Caboolture, Greater Brisbane, City of Moreton Bay, 4510, Queensland, Australia",-27.093912305612726,152.97114970739008
4099,Jehu,Prestedge,Male,91,1999-10-20,,Manufacturing,High Net Worth,N,Yes,8,12,0.53,0.6625000000000001,0.8281250000000001,0.8281250000000001,96,1.3,"Concord West, Inner West, Sydney, City of Canada Bay Council, 2138, New South Wales, Australia",-33.83965696578947,151.08798830263157
4100,Symon,Mawne,Male,18,1943-02-08,Human Resources Assistant IV,Property,Mass Customer,N,Yes,15,4,0.66,0.8250000000000001,0.8250000000000001,0.70125,96,1.3,"Lake Wendouree, Ballarat, City of Ballarat, 3350, Victoria, Australia",-37.551475919091175,143.83133114550017
4101,Karlik,Penchen,Male,60,1994-10-31,Nurse Practicioner,Retail,Mass Customer,N,No,11,6,1.06,1.06,1.06,0.901,96,1.3,"Sandgate, Brisbane City, 4017, Queensland, Australia",-27.31601846651844,153.0485852294178
4102,Bengt,Bilson,Male,26,1972-11-02,Structural Engineer,Manufacturing,High Net Worth,N,No,11,10,0.61,0.61,0.7625,0.7625,99,1.296875,"Sutherland, Sydney, Sutherland Shire Council, 2232, New South Wales, Australia",-34.03018081297297,151.06119609567568
4103,Evangelin,Boc,Female,30,2000-05-09,Structural Analysis Engineer,Manufacturing,High Net Worth,N,Yes,14,8,0.57,0.7124999999999999,0.7124999999999999,0.7124999999999999,99,1.296875,"Keysborough, Melbourne, City of Greater Dandenong, 3173, Victoria, Australia",-37.9890828505867,145.17429420091264
4104,Hanny,Treven,Female,84,1991-01-22,Associate Professor,Retail,Mass Customer,N,No,3,4,0.77,0.77,0.9625,0.818125,99,1.296875,"Hillcrest, Greater Brisbane, 4118, Queensland, Australia",-27.66352361428571,153.02231130952381
4105,Gina,Mallon,Female,56,1994-02-11,Dental Hygienist,Health,Mass Customer,N,No,12,2,1.1,1.1,1.1,0.935,102,1.28828125,"Woongarra, Bundaberg Region, 4670, Queensland, Australia",-24.883188646212123,152.41333871136362
4106,Reynold,Elman,Male,19,1940-01-18,Marketing Manager,Manufacturing,Mass Customer,N,No,9,2,0.74,0.74,0.74,0.629,102,1.28828125,"Narrabri, Narrabri Shire Council, 2390, New South Wales, Australia",-30.28124009722222,149.7564377513889
4107,Flossy,Concannon,Female,64,1980-10-20,Staff Accountant IV,Financial Services,Affluent Customer,N,No,8,2,0.57,0.57,0.57,0.57,104,1.2875,"3919, Victoria, Australia",-38.37078828571428,145.21883278571428
4108,Cristen,Wiltshire,Female,59,1961-10-20,VP Sales,Financial Services,High Net Worth,N,Yes,15,6,0.91,1.1375,1.1375,1.1375,104,1.2875,"Broadmeadows, Melbourne, City of Hume, 3047, Victoria, Australia",-37.68201631435643,144.9267659217822
4109,Griffith,Escot,Male,50,1946-10-23,Accountant III,IT,Mass Customer,N,Yes,16,3,0.91,1.1375,1.1375,0.966875,104,1.2875,"Calamvale, Greater Brisbane, 4116, Queensland, Australia",-27.62663476362582,153.0521885981544
