,transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,date_product_first_sold,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure,address,postcode,state,country,property_valuation
20010,,,3504,,,,,,,,,,,,Keriann,Perdue,Female,39.0,1963-07-06,Business Systems Development Analyst,Manufacturing,Mass Customer,N,`ââ¬â¹âºï¬ï¬â¡Â°Â·ââÂ±,Yes,6.0,18072 American Parkway,3195.0,VIC,Australia,10.0
20011,,,3505,,,,,,,,,,,,Dolly,Scallan,Female,41.0,1974-08-06,,Retail,Mass Customer,N,ð¾ ð ð ð ð ð ð ð§,No,14.0,5854 Weeping Birch Avenue,2022.0,NSW,Australia,10.0
20012,,,3506,,,,,,,,,,,,Mercy,Donisi,Female,19.0,1975-06-18,Web Designer I,Financial Services,Mass Customer,N,åè£½æ¼¢èª,No,15.0,2 Clarendon Point,2194.0,NSW,Australia,7.0
20013,,,3507,,,,,,,,,,,,Christoph,Greatreax,Male,70.0,1955-03-03,Physical Therapy Assistant,Financial Services,Mass Customer,N,Ì¦HÍÌ¬Ì¤ÌÌ¤eÍ ÍÌÌ¥ÌÌ»ÍÌwÌhÌÌ¯ÍoÌÍÌÍÌ±Ì® ÒÌºÌÌÌÍWÌ·Ì¼Ì­aÌºÌªÍiÌ¨ÍÍÌ­ÍÌ¯ÌtÌ¶Ì¼Ì®sÌÌÍÍ Ì Ì«Ì BÌ»ÍÍÍÍÌ³eÌµhÌµÌ¬ÍÌ«ÍiÌÌ¹ÍÌ³Ì³Ì®ÍÌ«nÍdÌ´ÌªÌÌ ÍÌ°ÍÌ©ÍÍÍÌ²TÍ¢ÍÌ¼ÍÌªhÍÍÌ®Ì»eÌ¬ÌÍÌ Ì¤Ì¹ÌWÍÍÍÌÌÍÍaÍÍÍÌ¹Ì¼,No,5.0,88979 Hazelcrest Way,3555.0,VIC,Australia,3.0
20014,,,3508,,,,,,,,,,,,Malvin,Marre,Male,89.0,1986-08-09,Pharmacist,Health,Mass Customer,N,ÅâÂ´Â®â Â¥Â¨ËÃ¸Ïââ,No,5.0,7555 Springview Crossing,3195.0,VIC,Australia,10.0
20015,,,3509,,,,,,,,,,,,Janine,Hesey,Female,85.0,1978-11-22,Pharmacist,Health,Mass Customer,N,0,Yes,15.0,04240 Prentice Plaza,3031.0,VIC,Australia,9.0
20016,,,3510,,,,,,,,,,,,Jemima,Izaac,U,48.0,,Safety Technician II,IT,Affluent Customer,N,,Yes,0.0,35280 Harper Junction,2700.0,NSW,Australia,2.0
20017,,,3511,,,,,,,,,,,,Willem,Spraging,Male,23.0,1966-12-31,Food Chemist,Health,Affluent Customer,N,1,No,10.0,08479 Hazelcrest Street,3340.0,VIC,Australia,4.0
20018,,,3512,,,,,,,,,,,,Vladimir,Abramowsky,Male,68.0,1994-03-24,VP Accounting,Financial Services,Mass Customer,N,/dev/null; touch /tmp/blns.fail ; echo,Yes,8.0,70 Oakridge Pass,2019.0,NSW,Australia,10.0
20019,,,3513,,,,,,,,,,,,Enriqueta,Waterhowse,U,80.0,,Internal Auditor,IT,Affluent Customer,N,,Yes,0.0,56873 Buena Vista Crossing,2035.0,NSW,Australia,9.0
20020,,,3514,,,,,,,,,,,,Darcy,Ilett,Male,25.0,1962-08-24,Environmental Specialist,,Mass Customer,N,100,No,8.0,7 Rieder Street,3155.0,VIC,Australia,7.0
20021,,,3515,,,,,,,,,,,,Leelah,Pynner,Female,11.0,1975-01-14,Staff Scientist,Telecommunications,High Net Worth,N,ï¾ï½¥â¿ã¾â²(ï½¡ââ¿âï½¡)â±â¿ï½¥ï¾,Yes,18.0,3528 Granby Circle,4825.0,QLD,Australia,5.0
20022,,,3516,,,,,,,,,,,,Diarmid,Vearnals,Male,93.0,1977-04-30,,Property,Mass Customer,N,testâ testâ«,Yes,15.0,16 Vahlen Trail,2152.0,NSW,Australia,10.0
20023,,,3517,,,,,,,,,,,,Domeniga,Terney,Female,47.0,1957-07-04,Accounting Assistant IV,,Mass Customer,N,-100,Yes,6.0,977 Arapahoe Trail,4121.0,QLD,Australia,8.0
20024,,,3518,,,,,,,,,,,,Magdaia,Beardwell,Female,45.0,1980-06-18,Biostatistician I,IT,Mass Customer,N,ï¾ï½¥â¿ã¾â²(ï½¡ââ¿âï½¡)â±â¿ï½¥ï¾,Yes,8.0,31331 Old Shore Crossing,2211.0,NSW,Australia,8.0
20025,,,3519,,,,,,,,,,,,Aldus,Kenningley,Male,16.0,1978-05-21,Software Consultant,Manufacturing,Mass Customer,N,â¦testâ§,Yes,11.0,51757 Weeping Birch Center,2470.0,NSW,Australia,5.0
20026,,,3520,,,,,,,,,,,,Travis,Kaszper,Male,41.0,1963-08-17,Research Nurse,Health,Mass Customer,N,-1,Yes,16.0,25 Schurz Avenue,2071.0,NSW,Australia,12.0
20027,,,3521,,,,,,,,,,,,Oneida,Olivia,Female,27.0,1980-03-10,Research Associate,,High Net Worth,N,ï¾ï½¥â¿ã¾â²(ï½¡ââ¿âï½¡)â±â¿ï½¥ï¾,Yes,16.0,92045 Magdeline Street,2101.0,NSW,Australia,11.0
20028,,,3522,,,,,,,,,,,,Lorri,Byrth,Female,73.0,1989-08-21,Cost Accountant,Financial Services,High Net Worth,N,ÃÃÃÃËÃÃï£¿ÃÃÃâ,Yes,11.0,0129 Hollow Ridge Crossing,2095.0,NSW,Australia,11.0
20029,,,3523,,,,,,,,,,,,Lin,Tarver,Male,33.0,1975-06-14,,,Affluent Customer,N,åè£½æ¼¢èª,No,19.0,56 Anderson Alley,2194.0,NSW,Australia,10.0
20030,,,3524,,,,,,,,,,,,Waiter,Piscopello,Male,38.0,1973-12-30,Design Engineer,Financial Services,Mass Customer,N,1,Yes,18.0,528 Golf View Plaza,2471.0,NSW,Australia,2.0
20031,,,3525,,,,,,,,,,,,Town,Yitzhakov,Male,55.0,1996-08-16,Editor,,Mass Customer,N,×Ö¸×Ö°×ªÖ¸×testØ§ÙØµÙØ­Ø§Øª Ø§ÙØªÙØ­ÙÙ,No,2.0,474 Farragut Way,4812.0,QLD,Australia,3.0
20032,,,3526,,,,,,,,,,,,Pail,Iacopini,Male,84.0,1978-09-19,General Manager,Telecommunications,High Net Worth,N,1000000000000000049861653971908893017010268485438462151574892930611988399099305815384459015356416,Yes,13.0,1 Schiller Place,2774.0,NSW,Australia,9.0
20033,,,3527,,,,,,,,,,,,Kiley,Scotson,Female,77.0,1978-12-02,Senior Cost Accountant,Financial Services,High Net Worth,N,ã»(ï¿£âï¿£)ã»:*:,No,18.0,55497 Warrior Alley,3123.0,VIC,Australia,9.0
20034,,,3528,,,,,,,,,,,,Eliot,Scammell,Male,69.0,1964-04-06,Internal Auditor,Manufacturing,Mass Customer,N,,Yes,7.0,6 Moulton Point,2145.0,NSW,Australia,10.0
20035,,,3529,,,,,,,,,,,,Austine,Kinny,Female,37.0,1960-11-23,Structural Analysis Engineer,IT,High Net Worth,N,(â¯Â°â¡Â°ï¼â¯ï¸µ â»ââ»),Yes,16.0,6 Rockefeller Lane,2294.0,NSW,Australia,7.0
20036,,,3530,,,,,,,,,,,,Erik,Kenneford,Male,19.0,1973-10-23,Staff Scientist,,High Net Worth,N,100,Yes,8.0,05759 Ridge Oak Trail,2007.0,NSW,Australia,8.0
20037,,,3531,,,,,,,,,,,,Shannah,Pountain,Female,4.0,1969-01-27,Marketing Manager,Retail,Affluent Customer,N,<img src=x onerror=alert('hi') />,Yes,11.0,75 Grim Circle,2147.0,NSW,Australia,10.0
20038,,,3532,,,,,,,,,,,,May,Birch,Female,27.0,1990-07-24,Media Manager I,Health,High Net Worth,N,1,Yes,7.0,88 Bunting Hill,3978.0,VIC,Australia,6.0
20039,,,3533,,,,,,,,,,,,Neale,Lowings,Male,62.0,1981-02-14,,Financial Services,Affluent Customer,N,-100,Yes,8.0,7547 Garrison Alley,2705.0,NSW,Australia,5.0
20040,,,3534,,,,,,,,,,,,Kacie,Stanbrooke,Female,92.0,1975-05-15,Associate Professor,Manufacturing,Affluent Customer,N,ï»¿,Yes,3.0,3605 Vidon Hill,3305.0,VIC,Australia,1.0
20041,,,3535,,,,,,,,,,,,Bren,Dabbes,Female,8.0,1994-09-15,Technical Writer,Manufacturing,High Net Worth,N,Ù¡Ù¢Ù£,No,6.0,0485 Petterle Terrace,2575.0,NSW,Australia,6.0
20042,,,3536,,,,,,,,,,,,Laurence,Aulsford,Male,46.0,1967-12-24,Professor,Retail,Affluent Customer,N,0/0,No,18.0,97461 Drewry Trail,3072.0,VIC,Australia,10.0
20043,,,3537,,,,,,,,,,,,Sholom,Pavlasek,Male,1.0,1997-01-15,Graphic Designer,Financial Services,Mass Customer,N,-100,No,4.0,6736 Anthes Junction,2250.0,NSW,Australia,7.0
20044,,,3538,,,,,,,,,,,,Kerby,Nassie,Male,19.0,1977-11-14,Marketing Manager,Health,Mass Customer,N,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },No,8.0,9 Tennyson Center,2198.0,NSW,Australia,9.0
20045,,,3539,,,,,,,,,,,,Sheelah,Caine,Female,94.0,1985-03-21,,IT,Mass Customer,N,ÅâÂ´Â®â Â¥Â¨ËÃ¸Ïââ,Yes,16.0,9594 Brown Junction,4509.0,QLD,Australia,7.0
20046,,,3540,,,,,,,,,,,,Ali,Naris,Male,49.0,1954-08-27,,,Mass Customer,N,1,Yes,7.0,64 Macpherson Junction,4061.0,QLD,Australia,8.0
20047,,,3541,,,,,,,,,,,,Aloin,Harhoff,Male,72.0,1986-01-03,,Health,Mass Customer,N,"""'",No,11.0,0 Heath Point,2136.0,NSW,Australia,9.0
20048,,,3542,,,,,,,,,,,,Perl,Suddaby,Female,23.0,1975-03-11,Financial Analyst,Financial Services,Mass Customer,N,âð¿ ðªð¿ ðð¿ ðð¿ ðð¿ ðð¿,No,10.0,1 Chive Trail,4670.0,QLD,Australia,2.0
20049,,,3543,,,,,,,,,,,,Shanie,Zahor,Female,15.0,1986-12-25,Food Chemist,Health,High Net Worth,N,â£,Yes,21.0,34976 Lindbergh Hill,4304.0,QLD,Australia,4.0
20050,,,3544,,,,,,,,,,,,Benoite,Trahmel,Female,25.0,1998-08-13,Help Desk Technician,,Affluent Customer,N,â£,No,1.0,266 Little Fleur Street,4350.0,QLD,Australia,4.0
20051,,,3545,,,,,,,,,,,,Wenonah,Filgate,Female,66.0,1974-07-19,Developer II,,High Net Worth,N,á,No,4.0,005 Bunker Hill Lane,3046.0,VIC,Australia,9.0
20052,,,3546,,,,,,,,,,,,Hally,Pollie,Female,91.0,1983-09-29,GIS Technical Architect,Manufacturing,Affluent Customer,N,TÌÌ­ÌºÌºoÍ Ì·iÌ²Ì¬ÍÌªÍnÌÌÍvÍÌÌÌÌ¦oÌ¶ÌÌ°Ì keÍÍÌ®ÌºÌªÌ¹Ì±Ì¤ ÌtÍÌÍÌ³Ì£Ì»ÌªhÌ¼ÍÌ²Ì¦Ì³ÌÌ²eÍÌ£Ì°Ì¦Ì¬Í Ì¢Ì¼Ì»Ì±ÌhÍÍÍÍÌÌ£Ì²iÌ¦Ì²Ì£Ì°Ì¤vÌ»ÍeÌºÌ­Ì³ÌªÌ°-mÌ¢iÍnÌÌºÌÌ²Ì¯Ì°dÌµÌ¼ÌÍÌ©Ì¼ÌÌ³ ÌÌ¥Ì±Ì³Ì­rÌÌÌeÍpÍ rÌ¼ÌÌ»Ì­ÌeÍÌºÌ Ì£sÌ,Yes,9.0,792 Maple Trail,2097.0,NSW,Australia,12.0
20053,,,3547,,,,,,,,,,,,Ganny,Dwerryhouse,Male,19.0,1975-05-06,Senior Financial Analyst,Financial Services,Affluent Customer,N,2018-02-01 00:00:00,No,8.0,71 Moulton Drive,3065.0,VIC,Australia,10.0
20054,,,3548,,,,,,,,,,,,Dalli,Seden,Male,65.0,1958-08-02,,,Affluent Customer,N,ðµ ð ð ð,No,12.0,033 Maryland Plaza,3023.0,VIC,Australia,8.0
20055,,,3549,,,,,,,,,,,,Jodee,Macewan,Female,0.0,1966-02-24,Sales Representative,Retail,Mass Customer,N,â¦testâ§,No,7.0,360 Green Ridge Junction,2508.0,NSW,Australia,9.0
20056,,,3550,,,,,,,,,,,,Daisey,Britto,Female,50.0,1988-11-27,Environmental Tech,Retail,Mass Customer,N,ï¾ï½¥â¿ã¾â²(ï½¡ââ¿âï½¡)â±â¿ï½¥ï¾,Yes,16.0,870 Bluestem Hill,2745.0,NSW,Australia,8.0
20057,,,3551,,,,,,,,,,,,Zed,Douris,Male,37.0,1962-05-10,Pharmacist,Health,Mass Customer,N,ð©ð½,Yes,8.0,392 Grim Pass,4680.0,QLD,Australia,6.0
20058,,,3552,,,,,,,,,,,,Ebeneser,Lowde,Male,33.0,1992-09-07,Internal Auditor,Retail,Affluent Customer,N,á,Yes,9.0,38792 Calypso Crossing,2778.0,NSW,Australia,7.0
20059,,,3553,,,,,,,,,,,,Dietrich,Geggie,Male,97.0,1974-12-29,Graphic Designer,Health,Mass Customer,N,âªâªtestâª,No,10.0,92 Mallard Court,3125.0,VIC,Australia,10.0
20060,,,3554,,,,,,,,,,,,Briggs,Mower,Male,34.0,1978-04-06,GIS Technical Architect,IT,Mass Customer,N,ì¸ëë°í ë¥´,Yes,16.0,37 Summerview Park,2101.0,NSW,Australia,11.0
20061,,,3555,,,,,,,,,,,,Latashia,,Female,96.0,1976-02-26,Programmer Analyst II,Manufacturing,Mass Customer,N,â«testâ«,No,21.0,3 Shasta Way,2076.0,NSW,Australia,12.0
20062,,,3556,,,,,,,,,,,,Larina,Gheeorghie,Female,38.0,1997-07-05,Senior Developer,Manufacturing,High Net Worth,N,"<>?:""{}|_+",No,3.0,45 Redwing Road,3182.0,VIC,Australia,12.0
20063,,,3557,,,,,,,,,,,,Tisha,Gibbings,Female,79.0,1978-05-12,,Health,Affluent Customer,N,<img src=x onerror=alert('hi') />,No,18.0,41 Northridge Road,4730.0,QLD,Australia,4.0
20064,,,3558,,,,,,,,,,,,Torey,Sarney,Male,16.0,1954-09-05,,,High Net Worth,N,<img src=x onerror=alert('hi') />,Yes,7.0,459 Meadow Valley Junction,4155.0,QLD,Australia,10.0
20065,,,3559,,,,,,,,,,,,Farra,Bails,Female,80.0,1985-02-19,Assistant Media Planner,Entertainment,High Net Worth,N,0/0,Yes,17.0,276 Coolidge Plaza,4215.0,QLD,Australia,7.0
20066,,,3560,,,,,,,,,,,,Gav,Bonin,Male,98.0,1980-09-01,Structural Analysis Engineer,Retail,Mass Customer,N,testâ testâ«,Yes,7.0,4 Dexter Park,4505.0,QLD,Australia,2.0
20067,,,3561,,,,,,,,,,,,Emelda,Allbones,Female,15.0,1968-11-16,Help Desk Operator,Financial Services,Mass Customer,N,!@#$%^&*(),Yes,5.0,0800 Donald Hill,4000.0,QLD,Australia,7.0
20068,,,3562,,,,,,,,,,,,Martynne,Bullivant,Female,76.0,1973-01-02,Recruiting Manager,,Affluent Customer,N,,No,10.0,4301 Haas Junction,2204.0,NSW,Australia,9.0
20069,,,3563,,,,,,,,,,,,De,Leyband,Female,70.0,1990-03-12,,Financial Services,Affluent Customer,N,Â¡â¢Â£Â¢âÂ§Â¶â¢ÂªÂºââ ,No,10.0,0185 Fremont Alley,4074.0,QLD,Australia,7.0
20070,,,3564,,,,,,,,,,,,Sandy,Olford,Male,43.0,1972-05-15,Programmer Analyst IV,,High Net Worth,N,âªâªtestâª,Yes,18.0,85476 Shasta Park,2065.0,NSW,Australia,12.0
20071,,,3565,,,,,,,,,,,,Charyl,Pottiphar,U,14.0,,Structural Engineer,IT,High Net Worth,N,,Yes,0.0,4888 Hoepker Plaza,2072.0,NSW,Australia,12.0
20072,,,3566,,,,,,,,,,,,Bram,Pheasant,Male,96.0,1976-11-02,Social Worker,Health,Affluent Customer,N,../../../../../../../../../../../etc/passwd%00,Yes,10.0,77 Green Court,2570.0,NSW,Australia,9.0
20073,,,3567,,,,,,,,,,,,Eileen,Ilchenko,Female,17.0,1980-09-14,Nurse,Financial Services,Affluent Customer,N,ËÉnbá´lÉ ÉuÆÉÉ¯ ÇÉ¹olop ÊÇ ÇÉ¹oqÉl Ên Êunpá´pá´Éuá´ É¹odÉ¯ÇÊ poÉ¯sná´Ç op pÇs 'Êá´lÇ Æuá´Ésá´dá´pÉ É¹nÊÇÊÉÇsuoÉ 'ÊÇÉ¯É Êá´s É¹olop É¯nsdá´ É¯ÇÉ¹oË¥,Yes,14.0,22344 Reinke Pass,4225.0,QLD,Australia,5.0
20074,,,3568,,,,,,,,,,,,Berthe,Griniov,Female,13.0,1955-09-15,Nurse,Retail,Affluent Customer,N,1'; DROP TABLE users--,No,5.0,588 Menomonie Way,4179.0,QLD,Australia,9.0
20075,,,3569,,,,,,,,,,,,Janel,Daice,Female,24.0,1973-05-18,Senior Editor,,Affluent Customer,N,ì¬íê³¼íì ì´íì°êµ¬ì,No,12.0,3 Becker Drive,2566.0,NSW,Australia,8.0
20076,,,3570,,,,,,,,,,,,Mordy,Hedin,Male,13.0,1962-01-31,,Entertainment,Mass Customer,N,1/0,No,7.0,663 Sunfield Court,3564.0,VIC,Australia,2.0
20077,,,3571,,,,,,,,,,,,Othilia,Metcalf,Female,9.0,1976-06-09,Senior Sales Associate,Property,Mass Customer,N,Â¸ËÃâÄ±ËÃÂ¯ËÂ¿,Yes,3.0,010 Maryland Court,3556.0,VIC,Australia,2.0
20078,,,3572,,,,,,,,,,,,Willis,Tilston,Male,54.0,1986-03-21,Sales Representative,Retail,Affluent Customer,N,2018-02-01 00:00:00,Yes,2.0,53504 Dakota Terrace,2570.0,NSW,Australia,8.0
20079,,,3573,,,,,,,,,,,,Mab,Dwyer,Female,68.0,1996-10-16,Accounting Assistant I,Manufacturing,Mass Customer,N,-100,Yes,3.0,681 Ridgeway Junction,4208.0,QLD,Australia,7.0
20080,,,3574,,,,,,,,,,,,Eileen,Eland,Female,33.0,1991-02-05,Clinical Specialist,Health,Mass Customer,N,ì¬íê³¼íì ì´íì°êµ¬ì,No,6.0,225 American Point,4508.0,QLD,Australia,3.0
20081,,,3575,,,,,,,,,,,,Kandace,Desesquelle,Female,82.0,1973-11-06,Administrative Assistant I,IT,Affluent Customer,N,ðµ ð ð ð,Yes,13.0,79 Moland Junction,2795.0,NSW,Australia,4.0
20082,,,3576,,,,,,,,,,,,Rochette,Ebbens,Female,10.0,1969-09-19,Account Coordinator,,Mass Customer,N,ð ð ±ð ¹ð ±ð ±¸ð ²ð ³,No,11.0,9004 Wayridge Drive,2799.0,NSW,Australia,4.0
20083,,,3577,,,,,,,,,,,,Fowler,Scotsbrook,Male,29.0,1964-02-18,Staff Scientist,Retail,High Net Worth,N,-100,No,10.0,505 Village Pass,4007.0,QLD,Australia,4.0
20084,,,3578,,,,,,,,,,,,Dorella,Sineath,Female,57.0,1956-10-27,Staff Accountant IV,Property,Mass Customer,N,0ï¸â£ 1ï¸â£ 2ï¸â£ 3ï¸â£ 4ï¸â£ 5ï¸â£ 6ï¸â£ 7ï¸â£ 8ï¸â£ 9ï¸â£ ð,No,12.0,57 Thierer Parkway,2177.0,NSW,Australia,9.0
20085,,,3579,,,,,,,,,,,,Rachel,Somes,Female,32.0,1987-09-15,Software Test Engineer III,Health,High Net Worth,N,ì¸ëë°í ë¥´,No,20.0,91 Roth Pass,2565.0,NSW,Australia,6.0
20086,,,3580,,,,,,,,,,,,Roby,Samson,Female,61.0,1972-04-24,Occupational Therapist,Health,Mass Customer,N,,No,10.0,4605 Lakewood Gardens Terrace,3216.0,VIC,Australia,7.0
20087,,,3581,,,,,,,,,,,,Lindsy,Ygo,Female,38.0,1957-07-10,,,Mass Customer,N,"Ø«Ù ÙÙØ³ Ø³ÙØ·Øª ÙØ¨Ø§ÙØªØ­Ø¯ÙØ¯Ø, Ø¬Ø²ÙØ±ØªÙ Ø¨Ø§Ø³ØªØ®Ø¯Ø§Ù Ø£Ù Ø¯ÙÙ. Ø¥Ø° ÙÙØ§Ø Ø§ÙØ³ØªØ§Ø± ÙØªÙØµÙØ¨ ÙØ§Ù. Ø£ÙÙÙ Ø§ÙØ·Ø§ÙÙØ§Ø Ø¨Ø±ÙØ·Ø§ÙÙØ§-ÙØ±ÙØ³Ø§ ÙØ¯ Ø£Ø®Ø°. Ø³ÙÙÙØ§ÙØ Ø¥ØªÙØ§ÙÙØ© Ø¨ÙÙ ÙØ§, ÙØ°ÙØ± Ø",Yes,6.0,16334 Rutledge Trail,3805.0,VIC,Australia,9.0
20088,,,3582,,,,,,,,,,,,Beryle,Qusklay,Female,66.0,1961-12-11,Media Manager II,Property,Mass Customer,N,ð¾ ð ð ð ð ð ð ð,No,17.0,878 Cody Point,2155.0,NSW,Australia,10.0
20089,,,3583,,,,,,,,,,,,Josselyn,Mathey,Female,71.0,1965-05-27,Assistant Professor,Retail,Affluent Customer,N,â°â´âµâââ,No,5.0,66028 Randy Terrace,2155.0,NSW,Australia,10.0
20090,,,3584,,,,,,,,,,,,Adler,Teale,Male,95.0,1962-01-14,,Health,Mass Customer,N,"__ï¾(,_,*)",No,10.0,78478 Pond Road,4128.0,QLD,Australia,7.0
20091,,,3585,,,,,,,,,,,,Concordia,Lunbech,Female,41.0,1962-07-28,,Financial Services,High Net Worth,N,"""'",Yes,20.0,062 Dixon Parkway,3103.0,VIC,Australia,12.0
20092,,,3586,,,,,,,,,,,,Abby,Brownstein,Female,79.0,1979-02-05,Registered Nurse,Health,Affluent Customer,N,(â¯Â°â¡Â°ï¼â¯ï¸µ â»ââ»),No,10.0,344 Delladonna Place,2196.0,NSW,Australia,10.0
20093,,,3587,,,,,,,,,,,,Ines,Galfour,Female,85.0,1997-09-24,,,Affluent Customer,N,ð ð ±ð ¹ð ±ð ±¸ð ²ð ³,No,2.0,53 Union Terrace,2763.0,NSW,Australia,8.0
20094,,,3588,,,,,,,,,,,,Henrie,Beadman,Female,15.0,1961-06-04,Web Developer III,Health,Affluent Customer,N,,Yes,18.0,33221 Maple Wood Place,2260.0,NSW,Australia,10.0
20095,,,3589,,,,,,,,,,,,Nalani,Dummer,Female,73.0,1962-02-19,Computer Systems Analyst II,Health,High Net Worth,N,â¡,No,17.0,1 Esker Pass,4575.0,QLD,Australia,8.0
20096,,,3590,,,,,,,,,,,,Carolan,Velez,Female,32.0,1978-04-16,,Manufacturing,Mass Customer,N,0ï¸â£ 1ï¸â£ 2ï¸â£ 3ï¸â£ 4ï¸â£ 5ï¸â£ 6ï¸â£ 7ï¸â£ 8ï¸â£ 9ï¸â£ ð,Yes,19.0,9 Clyde Gallagher Junction,2065.0,NSW,Australia,11.0
20097,,,3591,,,,,,,,,,,,Dwight,Kinsey,Male,15.0,1978-10-28,Accountant III,Financial Services,Mass Customer,N,ãã¼ãã£ã¼ã¸è¡ããªãã,No,10.0,5699 Forster Street,2346.0,NSW,Australia,2.0
20098,,,3592,,,,,,,,,,,,Pall,MacCart,Male,72.0,1954-04-27,Junior Executive,,Mass Customer,N,á ,No,12.0,94543 Northwestern Court,4715.0,QLD,Australia,6.0
20099,,,3593,,,,,,,,,,,,Carry,Abercromby,Female,71.0,1996-04-10,Legal Assistant,Retail,Mass Customer,N,testâ testâ«,No,5.0,6 Continental Alley,3174.0,VIC,Australia,8.0
20100,,,3594,,,,,,,,,,,,Gustavo,Juschka,Male,45.0,1986-01-04,Marketing Assistant,Manufacturing,Mass Customer,N,nil,No,18.0,89 Dapin Terrace,3121.0,VIC,Australia,10.0
20101,,,3595,,,,,,,,,,,,Timi,Huson,Female,81.0,1975-12-06,Software Consultant,Retail,Mass Customer,N,,No,6.0,38834 Manufacturers Hill,2768.0,NSW,Australia,10.0
20102,,,3596,,,,,,,,,,,,Christi,Gilluley,Female,57.0,1977-12-25,Executive Secretary,Retail,Mass Customer,N,`ââ¬â¹âºï¬ï¬â¡Â°Â·ââÂ±,No,20.0,0186 Thackeray Center,3183.0,VIC,Australia,11.0
20103,,,3597,,,,,,,,,,,,Giorgi,,Male,71.0,1954-06-16,Analog Circuit Design manager,Property,Affluent Customer,N,',Yes,16.0,15980 Fairview Drive,2283.0,NSW,Australia,7.0
20104,,,3598,,,,,,,,,,,,Penny,McKirdy,Male,72.0,1994-12-17,Computer Systems Analyst III,Manufacturing,Affluent Customer,N,âð¿ ðªð¿ ðð¿ ðð¿ ðð¿ ðð¿,Yes,5.0,2 Waxwing Terrace,2429.0,NSW,Australia,2.0
20105,,,3599,,,,,,,,,,,,Lane,Maguire,Male,11.0,1956-02-27,Physical Therapy Assistant,,High Net Worth,N,100,Yes,6.0,358 Ronald Regan Point,2065.0,NSW,Australia,12.0
20106,,,3600,,,,,,,,,,,,Godart,Gooderick,Male,88.0,1962-05-17,Staff Accountant II,,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,No,16.0,4386 Spaight Court,3752.0,VIC,Australia,8.0
