,first_name,last_name,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,property_valuation,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Rank,Value,geo_address,latitude,longitude,years_since_1st_DOB
4024,Teddie,Burchill,Male,11,Programmer I,Manufacturing,Mass Customer,N,Yes,13,9,0.85,1.0625,1.328125,1.12890625,21,1.515625,"Guildford, Sydney, Cumberland City Council, 2161, New South Wales, Australia",-33.856233314634146,150.98416113658536,33.333333333333336
4025,Gaston,Dallaghan,Male,44,Financial Analyst,Financial Services,Mass Customer,N,Yes,8,7,0.77,0.9625,0.9625,0.818125,21,1.515625,"Lawson, Sydney, Blue Mountains City Council, 2783, New South Wales, Australia",-33.726204460240965,150.4258524939759,58.105407255304584
4026,Otis,Ottey,Male,26,Quality Engineer,unknown,Mass Customer,N,No,3,4,1.02,1.02,1.02,0.867,23,1.5,"Moranbah, Isaac Regional, 4744, Queensland, Australia",-22.011206859999998,148.05100256,62.458590006844624
4027,Tabbatha,Averill,Female,5,Quality Control Specialist,unknown,Affluent Customer,N,Yes,13,8,0.72,0.8999999999999999,0.8999999999999999,0.8999999999999999,23,1.5,"Umina Beach, Gosford, Central Coast Council, 2257, New South Wales, Australia",-33.512595296658034,151.3147976914508,42.32169746748802
4028,Brena,Schnitter,Female,78,Account Executive,Manufacturing,Mass Customer,N,No,4,5,0.61,0.61,0.61,0.5185,25,1.484375,"Barlows Hill, Livingstone Shire, 4703, Queensland, Australia",-23.105907533333333,150.73837692666666,47.13757700205339
4029,Rourke,Gillbard,Male,11,unknown,Property,Mass Customer,N,No,17,4,0.59,0.59,0.59,0.5015,26,1.46875,"Kirwan, Townsville City, 4817, Queensland, Australia",-19.306153286206897,146.73420286206897,9.949349760438055
4030,Dyane,Burwell,Female,19,Engineer II,Retail,Mass Customer,N,Yes,7,2,0.89,1.1125,1.1125,0.945625,26,1.46875,"Albury, Albury City Council, 2640, New South Wales, Australia",-36.08442952193627,146.9198178882353,16.84873374401095
4031,Claudine,Barstowk,Female,71,Nurse,Property,High Net Worth,N,Yes,5,11,0.67,0.8375,1.046875,1.046875,26,1.46875,"Spring Hill, Greater Brisbane, 4000, Queensland, Australia",-27.461657079441338,153.02183757061454,30.910335386721425
4032,Blinnie,Roze,Female,84,Librarian,Entertainment,High Net Worth,N,No,11,7,1.08,1.08,1.35,1.35,26,1.46875,"Bulimba, Greater Brisbane, 4171, Queensland, Australia",-27.455870752434187,153.06117781869816,25.30321697467488
4033,Rhona,De Freyne,Female,45,unknown,Health,High Net Worth,N,No,8,10,0.73,0.73,0.9125,0.9125,30,1.4609375,"Brunswick, Melbourne, City of Merri-bek, 3056, Victoria, Australia",-37.76793731528302,144.96029546698114,25.253935660506503
4034,Sharron,Claibourn,Female,62,unknown,Financial Services,High Net Worth,N,Yes,17,8,0.71,0.8875,0.8875,0.8875,30,1.4609375,"Belmont, Newcastle-Maitland, Lake Macquarie City Council, 2280, New South Wales, Australia",-33.02718327096774,151.6585505096774,44.42984257357974
4035,Brien,Heaton,Male,70,Clinical Specialist,Health,Mass Customer,N,Yes,12,2,1.01,1.2625,1.2625,1.073125,32,1.453125,"Casino, Richmond Valley Council, 2470, New South Wales, Australia",-28.84258610980392,152.98909315490195,16.268309377138944
4036,Sybilla,MacCart,Female,88,Paralegal,Financial Services,Mass Customer,N,Yes,7,7,0.41,0.5125,0.640625,0.54453125,32,1.453125,"Jerrabomberra, Queanbeyan-Palerang Regional Council, 2620, New South Wales, Australia",-35.40155569672131,149.19710846557376,51.40041067761807
4037,Mikel,McNess,Male,71,Nurse,unknown,Mass Customer,N,No,9,9,0.7,0.7,0.875,0.74375,32,1.453125,"Mount Gravatt East, Greater Brisbane, 4122, Queensland, Australia",-27.542813476856786,153.09041006805953,46.08624229979466
4038,Maisie,Maddox,Female,27,Assistant Manager,Financial Services,Affluent Customer,N,No,20,9,0.66,0.66,0.8250000000000001,0.8250000000000001,32,1.453125,"Ocean Grove, City of Greater Geelong, 3226, Victoria, Australia",-38.26335595963303,144.51426591376148,41.713894592744694
4039,Arleen,Casbolt,Female,48,Senior Quality Engineer,Financial Services,Affluent Customer,N,Yes,13,1,0.77,0.9625,0.9625,0.9625,36,1.44765625,"Kirwan, Townsville City, 4817, Queensland, Australia",-19.306153286206897,146.73420286206897,39.715263518138265
4040,Farlie,Petford,Male,76,Recruiting Manager,unknown,High Net Worth,N,No,13,10,0.86,0.86,1.075,1.075,36,1.44765625,"Zetland, Sydney, Council of the City of Sydney, 2017, New South Wales, Australia",-33.905439370175436,151.20665650811404,32.591375770020534
4041,Mitchell,MacCague,Male,58,unknown,Manufacturing,Mass Customer,N,No,15,8,0.62,0.62,0.62,0.527,38,1.4375,"Highett, Melbourne, City of Bayside, 3190, Victoria, Australia",-37.95311834612245,145.0371776534694,43.63586584531143
4042,Garik,Whitwell,Male,44,unknown,Property,Mass Customer,N,Yes,13,2,0.88,1.1,1.1,0.935,38,1.4375,"Warrnambool, City of Warrnambool, 3280, Victoria, Australia",-38.38548947889909,142.496137306422,19.808350444900753
4043,Antonin,Britt,Male,64,unknown,Manufacturing,Affluent Customer,N,Yes,8,9,0.43,0.5375,0.671875,0.671875,40,1.434375,"Merrylands, Sydney, Cumberland City Council, 2160, New South Wales, Australia",-33.832454518823525,150.9796508117647,58.01779603011636
4044,Vinny,Incogna,Female,73,unknown,Health,High Net Worth,N,No,10,8,0.62,0.62,0.62,0.62,40,1.434375,"Freemans Reach, Sydney, Hawkesbury City Council, 2756, New South Wales, Australia",-33.56748447130435,150.82186244826087,17.481177275838466
4045,Colene,Fishleigh,Female,24,Design Engineer,Financial Services,Mass Customer,N,No,3,10,0.54,0.54,0.675,0.57375,42,1.421875,"Mount Waverley, Melbourne, City of Monash, 3149, Victoria, Australia",-37.882926468264706,145.13663315214706,49.5605749486653
4046,Neile,Argent,Female,79,unknown,Retail,Mass Customer,N,No,8,10,0.83,0.83,1.0375,0.8818749999999999,42,1.421875,"Bronte, Sydney, Waverley Council, 2024, New South Wales, Australia",-33.903311335714285,151.25941857142857,11.175906913073238
4047,Corinna,Suggey,Female,52,Design Engineer,unknown,Affluent Customer,N,No,9,8,0.89,0.89,0.89,0.89,44,1.42109375,"Colebee, Sydney, Blacktown City Council, 2761, New South Wales, Australia",-33.72644150471698,150.85082548867925,31.07460643394935
4048,Brooke,Arling,Male,76,unknown,unknown,High Net Worth,N,No,6,5,0.97,0.97,0.97,0.97,44,1.42109375,"Williams Landing, Melbourne, City of Wyndham, 3027, Victoria, Australia",-37.855667995652176,144.7364121704348,26.288843258042437
4049,Gipsy,Ewestace,Female,29,Business Systems Development Analyst,Retail,High Net Worth,N,Yes,5,12,0.53,0.6625000000000001,0.8281250000000001,0.8281250000000001,46,1.4078125,"Coogee, Eastern Suburbs, Sydney, Randwick City Council, 2034, New South Wales, Australia",-33.913058898461536,151.25791457230767,21.023956194387406
4050,Sheena,Kybbye,Female,14,Paralegal,Financial Services,Affluent Customer,N,Yes,19,1,0.91,1.1375,1.1375,1.1375,46,1.4078125,"Mission Beach, Cassowary Coast Regional, 4852, Queensland, Australia",-17.870486842857144,146.1019492,20.90075290896646
4051,Jobina,Gobourn,Female,85,VP Quality Control,unknown,High Net Worth,N,Yes,14,4,0.48,0.6,0.75,0.75,46,1.4078125,"Ipswich, Greater Brisbane, 4305, Queensland, Australia",-27.63190560792683,152.7519049567073,59.285420944558524
4052,Gale,Disbrow,Female,59,Cost Accountant,Financial Services,Mass Customer,N,Yes,17,7,1.07,1.3375,1.3375,1.136875,46,1.4078125,"Smoko, Alpine Shire, 3741, Victoria, Australia",-36.80044714683544,147.0141532822785,41.72758384668035
4053,Thaxter,Kingsbury,Male,12,Product Engineer,Argiculture,Mass Customer,N,No,20,12,0.86,0.86,1.075,0.91375,50,1.40625,"Chatswood, Lower North Shore, Sydney, Willoughby City Council, 2067, New South Wales, Australia",-33.7962466990566,151.17902833773584,14.69678302532512
4054,Heinrick,Shilstone,Male,60,unknown,Manufacturing,Affluent Customer,N,No,10,8,0.43,0.43,0.43,0.43,50,1.40625,"Noble Park, Melbourne, City of Greater Dandenong, 3174, Victoria, Australia",-37.97490964761904,145.17940894285715,42.47501711156742
4055,Taylor,Steuhlmeyer,Male,62,Paralegal,Financial Services,Affluent Customer,N,Yes,5,8,1.06,1.325,1.325,1.325,52,1.39453125,"Sandgate, Brisbane City, 4017, Queensland, Australia",-27.31601846651844,153.0485852294178,63.58110882956879
4056,Griswold,Kelsall,Male,55,Social Worker,Health,High Net Worth,N,Yes,11,7,0.87,1.0875,1.0875,1.0875,52,1.39453125,"Narre Warren, Melbourne, City of Casey, 3805, Victoria, Australia",-38.00904905597826,145.3055908724295,58.327173169062284
4057,Odessa,Mc Andrew,Female,97,unknown,Property,Mass Customer,N,No,8,10,0.62,0.62,0.775,0.65875,54,1.38125,"Sutherland, Sydney, Sutherland Shire Council, 2232, New South Wales, Australia",-34.03018081297297,151.06119609567568,46.27789185489391
4058,Lavena,Seekings,Female,87,Payment Adjustment Coordinator,Retail,Mass Customer,N,No,16,10,0.98,0.98,1.225,1.04125,54,1.38125,"Oakleigh, Melbourne, City of Monash, 3166, Victoria, Australia",-37.90715324291667,145.10139873208334,59.58932238193019
4059,Martelle,Tuppeny,Female,52,Marketing Assistant,Manufacturing,Mass Customer,N,No,9,10,0.98,0.98,1.225,1.04125,54,1.38125,"Como, Sydney, Sutherland Shire Council, 2226, New South Wales, Australia",-34.00879439166667,151.06303824722224,45.45379876796714
4060,Briant,Ladley,Male,75,Recruiter,Argiculture,Mass Customer,N,No,12,8,0.62,0.62,0.62,0.527,57,1.375,"Penrith, Sydney, Penrith City Council, 2750, New South Wales, Australia",-33.754322410849056,150.67893582712264,44.32032854209446
4061,Marylou,Kirkup,Female,51,VP Product Management,unknown,Mass Customer,N,No,14,9,0.66,0.66,0.8250000000000001,0.70125,57,1.375,"Edithvale, Melbourne, City of Kingston, 3196, Victoria, Australia",-38.03810563170092,145.114394132007,37.1937029431896
4062,Whittaker,,Male,64,Media Manager III,unknown,Mass Customer,N,Yes,8,5,0.98,1.225,1.225,1.04125,57,1.375,"Rowville, Melbourne, City of Knox, 3156, Victoria, Australia",-37.90096691359667,145.27558982656964,30.934976043805612
4063,Normy,Goodinge,U,5,Associate Professor,IT,Mass Customer,N,No,4,5,0.78,0.78,0.78,0.663,57,1.375,"Pakenham, Melbourne, Shire of Cardinia, 3810, Victoria, Australia",-38.063884217213115,145.46991815245903,36.5886379192334
4064,Lorrie,Antonelli,Male,47,Cost Accountant,Financial Services,High Net Worth,N,Yes,17,7,0.4,0.5,0.5,0.5,57,1.375,"Umina Beach, Gosford, Central Coast Council, 2257, New South Wales, Australia",-33.512595296658034,151.3147976914508,47.474332648870636
4065,Jedediah,Kedie,Male,31,Developer I,Argiculture,Mass Customer,N,Yes,9,9,0.43,0.5375,0.671875,0.57109375,62,1.36796875,"Quakers Hill, Sydney, Blacktown City Council, 2763, New South Wales, Australia",-33.728338093333335,150.89744122888888,36.35318275154004
4066,Kaine,Smallcombe,Male,59,Senior Financial Analyst,Financial Services,High Net Worth,N,No,11,10,0.48,0.48,0.6,0.6,62,1.36796875,"Gordon, Sydney, Ku-ring-gai Council, 2072, New South Wales, Australia",-33.75449019333333,151.15261818,6.461327857631759
4067,Loise,Iltchev,Female,70,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,17,6,1.05,1.3125,1.3125,1.3125,62,1.36796875,"Narangba, Greater Brisbane, City of Moreton Bay, 4504, Queensland, Australia",-27.20434396666667,152.96818136960786,31.57015742642026
4068,Cristen,Maroney,Female,22,Accountant IV,IT,High Net Worth,N,Yes,7,7,0.58,0.725,0.725,0.725,65,1.3625,"Molendinar, Gold Coast City, 4214, Queensland, Australia",-27.967312742991453,153.36740983452992,64.24914442162903
4069,Dorothy,Barnardo,Female,58,Human Resources Manager,Retail,High Net Worth,N,No,12,8,0.57,0.57,0.57,0.57,65,1.3625,"Busby, Sydney, Liverpool City Council, 2168, New South Wales, Australia",-33.91353901428571,150.87780079285716,47.44695414099932
4070,Rosmunda,Duxbarry,Female,69,Executive Secretary,Property,Affluent Customer,N,Yes,5,11,0.83,1.0375,1.296875,1.296875,65,1.3625,"Ormeau, Gold Coast City, 4208, Queensland, Australia",-27.777456489626555,153.2552827533195,60.91170431211499
4071,Rozamond,Riha,Female,54,Account Representative I,Manufacturing,Affluent Customer,N,Yes,16,7,0.59,0.7374999999999999,0.7374999999999999,0.7374999999999999,68,1.3546875,"Forest Lake, Greater Brisbane, 4078, Queensland, Australia",-27.619807466006215,152.96109038379564,49.12799452429842
4072,Gunner,Petti,Male,62,Executive Secretary,Financial Services,High Net Worth,N,Yes,3,5,0.62,0.775,0.775,0.775,68,1.3546875,"Bald Hills, Brisbane City, 4036, Queensland, Australia",-27.32042253563259,153.01033559338813,63.794661190965094
4073,Vivienne,Crayden,Female,82,Associate Professor,unknown,High Net Worth,N,Yes,6,7,1.01,1.2625,1.578125,1.578125,68,1.3546875,"Tingalpa, Greater Brisbane, 4173, Queensland, Australia",-27.475252922426666,153.13225777210667,53.07597535934291
4074,Sherilyn,Canero,Female,11,Dental Hygienist,Health,High Net Worth,N,Yes,13,7,0.8,1.0,1.0,1.0,68,1.3546875,"Byangum, Tweed Shire Council, 2484, New South Wales, Australia",-28.348628712230216,153.37071840431653,60.95003422313484
4075,Bessie,Roscow,Female,78,GIS Technical Architect,Financial Services,Mass Customer,N,No,9,10,0.57,0.57,0.7124999999999999,0.6056249999999999,72,1.35,"Epping, Sydney, City of Parramatta Council, 2121, New South Wales, Australia",-33.77118336666667,151.0786623090909,58.95140314852841
4076,Kevina,Ferandez,Female,73,Assistant Professor,Financial Services,High Net Worth,N,No,15,9,0.97,0.97,1.2125,1.2125,72,1.35,"Indooroopilly, Greater Brisbane, 4068, Queensland, Australia",-27.501940689568347,152.9753018095966,64.08213552361396
4077,Yancy,Clementet,Male,5,Mechanical Systems Engineer,unknown,High Net Worth,N,No,15,9,0.5,0.5,0.625,0.625,72,1.35,"Lalor Park, Sydney, Blacktown City Council, 2147, New South Wales, Australia",-33.764241076595745,150.93524201063832,32.48733744010951
4078,Mabelle,Wellbelove,Female,76,unknown,Financial Services,Affluent Customer,N,Yes,19,9,0.85,1.0625,1.328125,1.328125,72,1.35,"Sandringham, Sydney, Bayside Council, 2219, New South Wales, Australia",-33.99555932962963,151.1399879962963,22.663928815879533
4079,Hasheem,Groucock,Male,98,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,N,Yes,10,12,0.54,0.675,0.84375,0.84375,72,1.35,"Coogee, Eastern Suburbs, Sydney, Randwick City Council, 2034, New South Wales, Australia",-33.913058898461536,151.25791457230767,39.07186858316222
4080,Tobias,Woodhams,Male,0,Research Nurse,Health,Mass Customer,N,No,17,9,1.0,1.0,1.25,1.0625,77,1.34140625,"St Clair, Sydney, Penrith City Council, 2759, New South Wales, Australia",-33.79928876424581,150.79261578731047,25.648186173853524
4081,Glennis,Flintoff,Female,36,Speech Pathologist,Health,Affluent Customer,N,Yes,13,7,0.72,0.8999999999999999,0.8999999999999999,0.8999999999999999,78,1.3375,"Werribee, Melbourne, City of Wyndham, 3030, Victoria, Australia",-37.893824220172085,144.69761997566923,21.169062286105408
4082,Chanda,Mensler,Female,15,Computer Systems Analyst IV,Manufacturing,Mass Customer,N,Yes,13,10,0.46,0.5750000000000001,0.7187500000000001,0.6109375000000001,78,1.3375,"Revesby, Sydney, Canterbury-Bankstown Council, 2212, New South Wales, Australia",-33.954352338095234,151.01430635952383,36.39698836413415
4083,Katheryn,Kinner,Female,15,Analyst Programmer,Entertainment,High Net Worth,N,No,6,6,0.68,0.68,0.68,0.68,78,1.3375,"East Corrimal, Wollongong City Council, 2518, New South Wales, Australia",-34.37877640746269,150.90494517537311,38.26967830253251
4084,Sumner,Carrivick,Male,53,Desktop Support Technician,Manufacturing,Mass Customer,N,No,15,12,0.77,0.77,0.9625,0.818125,78,1.3375,"Collaroy Plateau, Sydney, Northern Beaches Council, 2097, New South Wales, Australia",-33.73380277511423,151.29467232619555,59.630390143737166
4085,Valerie,Pickover,Female,34,Editor,Financial Services,Mass Customer,N,No,9,8,0.81,0.81,0.81,0.6885,78,1.3375,"Freemans Reach, Sydney, Hawkesbury City Council, 2756, New South Wales, Australia",-33.56748447130435,150.82186244826087,30.04791238877481
4086,Esther,Rooson,Female,14,unknown,Financial Services,Mass Customer,N,No,5,9,0.62,0.62,0.775,0.65875,78,1.3375,"Five Dock, Inner West, Sydney, City of Canada Bay Council, 2046, New South Wales, Australia",-33.86407893225806,151.12736497096773,45.50581793292265
4087,Gardie,Crellim,Male,58,Biostatistician IV,Manufacturing,High Net Worth,N,No,8,12,0.54,0.54,0.675,0.675,84,1.328125,"Caulfield North, Melbourne, City of Glen Eira, 3161, Victoria, Australia",-37.87456240301205,145.0192676180723,40.05749486652977
4088,Sean,O'Loughlin,Male,48,Database Administrator III,Manufacturing,High Net Worth,N,Yes,16,10,0.73,0.9125,1.140625,1.140625,85,1.325,"Bowral, Wingecarribee Shire Council, 2576, New South Wales, Australia",-34.48489604183006,150.43514098366012,25.582477754962355
4089,Pietra,Buckleigh,Female,9,Engineer III,unknown,High Net Worth,N,No,13,10,0.48,0.48,0.6,0.6,85,1.325,"Bronte, Sydney, Waverley Council, 2024, New South Wales, Australia",-33.903311335714285,151.25941857142857,13.686516084873375
4090,Marysa,Rouchy,Female,8,Assistant Media Planner,Entertainment,Affluent Customer,N,No,5,9,0.97,0.97,1.2125,1.2125,85,1.325,"Bondi Beach, Sydney, Waverley Council, 2026, New South Wales, Australia",-33.890763394270834,151.2676076510417,63.48528405201917
4091,Kahaleel,,Male,5,GIS Technical Architect,unknown,High Net Worth,N,No,13,12,0.84,0.84,1.05,1.05,88,1.31484375,"Maroubra, Sydney, Randwick City Council, 2035, New South Wales, Australia",-33.94194296551724,151.2362829,7.195071868583162
4092,Ossie,Midden,Male,49,Physical Therapy Assistant,Manufacturing,Mass Customer,N,Yes,14,9,0.51,0.6375,0.796875,0.67734375,89,1.3125,"Byron Shire Council, 2479, New South Wales, Australia",-28.70760040869565,153.49928057391304,14.472279260780287
4093,Sid,Carlone,Male,24,Structural Engineer,Health,Affluent Customer,N,No,16,2,0.67,0.67,0.67,0.67,89,1.3125,"Woongarra, Bundaberg Region, 4670, Queensland, Australia",-24.883188646212123,152.41333871136362,35.98904859685147
4094,Ludovico,Juster,Male,93,Environmental Specialist,unknown,Affluent Customer,N,No,15,10,1.07,1.07,1.3375,1.3375,89,1.3125,"West Pennant Hills, Sydney, The Hills Shire Council, 2125, New South Wales, Australia",-33.75181678181818,151.04116254545454,56.65982203969884
4095,Patricia,Everix,Female,34,Director of Sales,Health,Mass Customer,N,No,19,7,0.71,0.71,0.71,0.6034999999999999,89,1.3125,"Central Coast Council, 2263, New South Wales, Australia",-33.25735617045454,151.52765257954545,42.496919917864474
4096,Andromache,Bonafacino,Female,84,unknown,Retail,Mass Customer,N,No,11,9,0.71,0.71,0.8875,0.7543749999999999,89,1.3125,"Beaconsfield, Sydney, Council of the City of Sydney, 2015, New South Wales, Australia",-33.90953770111524,151.19937135724908,42.02874743326489
4097,Levy,Abramamov,Male,94,Teacher,unknown,Affluent Customer,N,Yes,14,8,0.44,0.55,0.6875,0.6875,89,1.3125,"Eatons Hill, Greater Brisbane, City of Moreton Bay, 4037, Queensland, Australia",-27.338354433333333,152.9533267333333,17.084188911704313
4098,Nobe,McAughtry,Male,25,unknown,unknown,Mass Customer,N,No,12,5,0.75,0.75,0.75,0.6375,89,1.3125,"Caboolture, Greater Brisbane, City of Moreton Bay, 4510, Queensland, Australia",-27.093912305612726,152.97114970739008,43.31279945242984
4099,Jehu,Prestedge,Male,91,unknown,Manufacturing,High Net Worth,N,Yes,8,12,0.53,0.6625000000000001,0.8281250000000001,0.8281250000000001,96,1.3,"Concord West, Inner West, Sydney, City of Canada Bay Council, 2138, New South Wales, Australia",-33.83965696578947,151.08798830263157,64.1615331964408
4100,Symon,Mawne,Male,18,Human Resources Assistant IV,Property,Mass Customer,N,Yes,15,4,0.66,0.8250000000000001,0.8250000000000001,0.70125,96,1.3,"Lake Wendouree, Ballarat, City of Ballarat, 3350, Victoria, Australia",-37.551475919091175,143.83133114550017,7.4661190965092405
4101,Karlik,Penchen,Male,60,Nurse Practicioner,Retail,Mass Customer,N,No,11,6,1.06,1.06,1.06,0.901,96,1.3,"Sandgate, Brisbane City, 4017, Queensland, Australia",-27.31601846651844,153.0485852294178,59.19233401779603
4102,Bengt,Bilson,Male,26,Structural Engineer,Manufacturing,High Net Worth,N,No,11,10,0.61,0.61,0.7625,0.7625,99,1.296875,"Sutherland, Sydney, Sutherland Shire Council, 2232, New South Wales, Australia",-34.03018081297297,151.06119609567568,37.19917864476386
4103,Evangelin,Boc,Female,30,Structural Analysis Engineer,Manufacturing,High Net Worth,N,Yes,14,8,0.57,0.7124999999999999,0.7124999999999999,0.7124999999999999,99,1.296875,"Keysborough, Melbourne, City of Greater Dandenong, 3173, Victoria, Australia",-37.9890828505867,145.17429420091264,64.71457905544148
4104,Hanny,Treven,Female,84,Associate Professor,Retail,Mass Customer,N,No,3,4,0.77,0.77,0.9625,0.818125,99,1.296875,"Hillcrest, Greater Brisbane, 4118, Queensland, Australia",-27.66352361428571,153.02231130952381,55.419575633128
4105,Gina,Mallon,Female,56,Dental Hygienist,Health,Mass Customer,N,No,12,2,1.1,1.1,1.1,0.935,102,1.28828125,"Woongarra, Bundaberg Region, 4670, Queensland, Australia",-24.883188646212123,152.41333871136362,58.47501711156742
4106,Reynold,Elman,Male,19,Marketing Manager,Manufacturing,Mass Customer,N,No,9,2,0.74,0.74,0.74,0.629,102,1.28828125,"Narrabri, Narrabri Shire Council, 2390, New South Wales, Australia",-30.28124009722222,149.7564377513889,4.407939767282683
4107,Flossy,Concannon,Female,64,Staff Accountant IV,Financial Services,Affluent Customer,N,No,8,2,0.57,0.57,0.57,0.57,104,1.2875,"3919, Victoria, Australia",-38.37078828571428,145.21883278571428,45.163586584531146
